metric_name,metric_value,scenario,n,salary,i
irr,0.0782992476803821,pds,15,200000,4
twr,0.08850041823952104,pds,15,200000,4
pension,1447.779013008888,pds,15,200000,4
kz,0.08686674078053329,pds,15,200000,4
savings,513586.19441221934,pds,15,200000,5
roi,1.5073103105689407,pds,15,200000,5
irr,0.10923889272253473,pds,15,200000,5
twr,0.1179627714093352,pds,15,200000,5
pension,1895.8025979846198,pds,15,200000,5
kz,0.1137481558790772,pds,15,200000,5
savings,479748.6292869625,pds,15,200000,6
roi,1.3421164699903358,pds,15,200000,6
irr,0.10147984270554256,pds,15,200000,6
twr,0.10972741508257045,pds,15,200000,6
pension,1770.8978700696644,pds,15,200000,6
kz,0.10625387220417988,pds,15,200000,6
savings,478808.4197957449,pds,15,200000,7
roi,1.3375263992737296,pds,15,200000,7
irr,0.1012559380971636,pds,15,200000,7
twr,0.11007558430974562,pds,15,200000,7
pension,1767.4272713357163,pds,15,200000,7
kz,0.10604563628014299,pds,15,200000,7
savings,642741.0895616043,pds,15,200000,8
roi,2.1378401102243165,pds,15,200000,8
irr,0.13453197530776073,pds,15,200000,8
twr,0.13789846814728057,pds,15,200000,8
pension,2372.5525348610568,pds,15,200000,8
kz,0.14235315209166344,pds,15,200000,8
savings,485511.8327093706,pds,15,200000,9
roi,1.3702522328284463,pds,15,200000,9
irr,0.10284208457959165,pds,15,200000,9
twr,0.1138226592249445,pds,15,200000,9
pension,1792.171603942942,pds,15,200000,9
kz,0.10753029623657653,pds,15,200000,9
savings,139714.33822206533,iis,15,50000,0
roi,1.7283225645067384,iis,15,50000,0
irr,0.11880513345610355,iis,15,50000,0
twr,0.11358722413306888,iis,15,50000,0
pension,515.7280477140323,iis,15,50000,0
kz,0.12377473145136778,iis,15,50000,0
savings,127635.75471716419,iis,15,50000,1
roi,1.4924536312028254,iis,15,50000,1
irr,0.1085638363300625,iis,15,50000,1
twr,0.10524081523645723,iis,15,50000,1
pension,471.1423282424013,iis,15,50000,1
kz,0.11307415877817632,iis,15,50000,1
savings,134906.6460453664,iis,15,50000,2
roi,1.6344386065979815,iis,15,50000,2
irr,0.11484627439844397,iis,15,50000,2
twr,0.11301788618828068,iis,15,50000,2
pension,497.98139599702625,iis,15,50000,2
kz,0.11951553503928632,iis,15,50000,2
savings,84498.34061954128,iis,15,50000,3
roi,0.6500720850085334,iis,15,50000,3
irr,0.060903369162550236,iis,15,50000,3
twr,0.06710209751165785,iis,15,50000,3
pension,311.90903379957433,iis,15,50000,3
kz,0.07485816811189785,iis,15,50000,3
savings,111146.28632804313,iis,15,50000,4
roi,1.1704495387434415,iis,15,50000,4
irr,0.09276664376743149,iis,15,50000,4
twr,0.09930884480122315,iis,15,50000,4
pension,410.2746932638992,iis,15,50000,4
kz,0.09846592638333583,iis,15,50000,4
savings,132698.9311215679,iis,15,50000,5
roi,1.5913266503073964,iis,15,50000,5
irr,0.11297768749256765,iis,15,50000,5
twr,0.11070119341391194,iis,15,50000,5
pension,489.8320498236218,iis,15,50000,5
kz,0.11755969195766924,iis,15,50000,5
savings,66648.76727710308,iis,15,50000,6
roi,0.3015080482982272,iis,15,50000,6
irr,0.03255820904411966,iis,15,50000,6
twr,0.043299765166114,iis,15,50000,6
pension,246.02083843201942,iis,15,50000,6
kz,0.05904500122368467,iis,15,50000,6
savings,90394.26525631783,iis,15,50000,7
roi,0.7652068981554933,iis,15,50000,7
irr,0.06882191234053292,iis,15,50000,7
twr,0.0799985167174766,iis,15,50000,7
pension,333.6726819769066,iis,15,50000,7
kz,0.08008144367445759,iis,15,50000,7
savings,106923.78007633165,iis,15,50000,8
roi,1.0879930118621097,iis,15,50000,8
irr,0.08831269240828932,iis,15,50000,8
twr,0.09323484456554687,iis,15,50000,8
pension,394.6881404922415,iis,15,50000,8
kz,0.09472515371813797,iis,15,50000,8
savings,116279.22568485972,iis,15,50000,9
roi,1.2706848792794185,iis,15,50000,9
irr,0.09794070935160515,iis,15,50000,9
twr,0.09574746976601056,iis,15,50000,9
pension,429.2219310865342,iis,15,50000,9
kz,0.10301326346076822,iis,15,50000,9
savings,279428.67644413066,iis,15,100000,0
roi,1.7283225645067384,iis,15,100000,0
irr,0.11880513345610355,iis,15,100000,0
twr,0.11358722413306888,iis,15,100000,0
pension,1031.4560954280646,iis,15,100000,0
kz,0.12377473145136778,iis,15,100000,0
savings,255271.50943432839,iis,15,100000,1
roi,1.4924536312028254,iis,15,100000,1
